DBN,School Name,Number of Test Takers,Critical Reading Mean,Mathematics Mean,Writing Mean
01M292,Henry Street School for International Studies ,31,391,425,385
01M448,University Neighborhood High School ,60,394,419,387
01M450,East Side Community High School ,69,418,431,402
01M458,SATELLITE ACADEMY FORSYTH ST ,26,385,370,378
01M509,CMSP HIGH SCHOOL ,s,s,s,s
01M515,Lower East Side Preparatory High School ,154,314,532,314
01M539,"New Explorations into Sci, Tech and Math HS ",47,568,583,568
01M650,CASCADES HIGH SCHOOL ,35,411,401,401
01M696,BARD HIGH SCHOOL EARLY COLLEGE ,138,630,608,630
02M047,AMERICAN SIGN LANG ENG DUAL ,11,405,415,385
